figure_id	panel	row_grain	field_name	dtype	unit	required	role	aggregation_or_derivation	validation	notes
F4	e	one row per run, policy and time window	live_l0_file_count	uint64	files	yes	measure	end-of-window snapshot	>=0	Step plot
F4	f	one row per run, policy and time window	cpu_quota_percent	float	percent	yes	measure	CPU seconds/(wall*allocated cores)*100	0..100 plus small measurement tolerance	Do not use raw multi-core percent
F4	g	one row per run, policy and time window	rss_bytes	uint64	bytes	yes	measure	window max or median, choose once	>0	Aggregation recorded in metadata
F4	g	one row per run, policy and time window	swap_in_bytes	uint64	bytes	yes	gate	direct	>=0	Nonzero flagged in caption/table
F4	g	one row per run, policy and time window	swap_out_bytes	uint64	bytes	yes	gate	direct	>=0	Nonzero flagged in caption/table
F4	h	one row per run, policy and time window	compaction_count_cumulative	uint64	compactions	yes	measure	cumulative	monotonic	Step/rug source
F4	h	one row per run, policy and time window	compaction_input_bytes_cumulative	uint64	bytes	yes	measure	cumulative	monotonic	WA numerator/denominator audit
F4	h	one row per run, policy and time window	compaction_output_bytes_cumulative	uint64	bytes	yes	measure	cumulative	monotonic	Main panel h
F4	h	one row per run, policy and time window	write_amplification	float	ratio	yes	annotation	fixed documented formula	>=1 or documented exception	Final annotation
F4	all	one row per run, policy and time window	writer_error_count	uint64	errors	yes	gate	sum	=0 for performance claim	Never replace with process survival
F5	a-b	one row per run and workload cell	query_semantic	enum	-	yes	dimension	direct	typed_only|dst_label|record_time|prop_present|prop_absence|two_hop	Property prototype flagged separately
F5	a-b	one row per run and workload cell	edge_selectivity_class	enum	-	yes	dimension	direct	rare|medium|frequent	Thresholds versioned in workload_id
F5	a-b	one row per run and workload cell	source_degree_class	enum	-	yes	dimension	direct	low|medium|high	Writer-side vs visible degree documented
F5	a-b	one row per run and workload cell	support_state	enum	-	yes	gate	direct	supported|prototype|unsupported|missing	Unsupported is not zero
F5	a	one row per run and workload cell	latency_p99_us	float	us	yes	measure	within-run P99	>0 for supported cells	Both naive and b64 required
F5	b	one row per run and workload cell	body_read_bytes_total	uint64	bytes	yes	raw	direct	>=0	Both variants required
F5	a-b	one row per run and workload cell	measured_operations	uint64	ops	yes	denominator	direct	>0	Matched truth set
F5	c	one row per run and workload mix	read_percent	float	percent	yes	dimension	direct	0..100	Paired with write_percent
F5	c	one row per run and workload mix	write_percent	float	percent	yes	dimension	direct	0..100 and read+write=100	Use 0,10,50,90 for main x
F5	c	one row per run and workload mix	update_pattern	enum	-	yes	dimension	direct	uniform|burst|hotspot|shift_A_B	One line per pattern
F5	c	one row per run and workload mix	latency_p99_us	float	us	yes	measure	within-run P99	>0	Both naive and b64 required
F5	d	one row per run and fallback scenario	fallback_scenario	enum	-	yes	dimension	direct	stable|schema_epoch|alias_drop|high_tombstone|old_snapshot|reopen	Fixed order
F5	d	one row per run and fallback scenario	fallback_rate	float	ratio	yes	annotation	fallback decisions/admission decisions	0..1	Show on bar top
F5	d	one row per run and fallback scenario	fallback_read_bytes_total	uint64	bytes	yes	raw	direct	>=0	Numerator of extra read ratio
F5	d	one row per run and fallback scenario	exact_read_bytes_total	uint64	bytes	yes	raw	direct	>0	Denominator of extra read ratio
F5	all	one row per run and workload cell	schema_state	string	-	yes	dimension	direct	non-empty	Stable/epoch/encoding context
F5	all	one row per run and workload cell	version_state	string	-	yes	dimension	direct	non-empty	Snapshot/tombstone context
F6	a-d	one row per run, scale and variant	directed_edge_count	uint64	edges	yes	x	direct	>0	Use actual count on x
F6	a-d	one row per run, scale and variant	generator_config_sha256	string	-	yes	provenance	direct	64 hex	Same generator family across scale
F6	a-d	one row per run, scale and variant	sampling_method_version	string	-	yes	provenance	direct	non-empty	Same stratification at every scale
F6	a	one row per run, scale and variant	latency_p99_us	float	us	yes	measure	within-run P99	>0	Same cache protocol
F6	b	one row per run, scale and variant	body_read_bytes_total	uint64	bytes	yes	raw	direct	>=0	Full execution main marker
F6	b	one row per run, scale and variant	measured_operations	uint64	ops	yes	denominator	direct	>0	Same count/strata per scale
F6	b	one row per run, scale and variant	read_metric_kind	enum	-	yes	gate	direct	full_execution|metadata_proxy	Proxy uses hollow marker
F6	c	one row per run, scale and variant	final_disk_bytes	uint64	bytes	yes	measure	direct	>0	Same filesystem accounting rule
F6	d	one row per run, scale and variant	steady_rss_bytes	uint64	bytes	yes	measure	median fixed steady window	>0	Peak import is separate
F6	e-f	one row per run, concurrency and variant	concurrency	int	clients	yes	x	direct	1|4|8|16|32	Log2 x
F6	e-f	one row per run, concurrency and variant	cpu_quota_cores	float	cores	yes	control	direct	constant across variants	Same cpuset/quota
F6	e	one row per run, concurrency and variant	completed_qps	float	queries/s	yes	measure	completed/measurement_s	>=0	Timeouts excluded
F6	f	one row per run, concurrency and variant	latency_p99_us	float	us	yes	measure	within-run P99	>0 or censored	Timeouts reported separately
F6	f	one row per run, concurrency and variant	timeout_rate	float	ratio	yes	annotation	timeouts/offered	0..1	Top-triangle when nonzero
F6	all	one row per run, scale/concurrency and variant	protocol	enum	-	yes	gate	direct	open_loop|closed_loop	Never mix on one line
F6	all	one row per run, scale/concurrency and variant	oom_flag	bool	-	yes	censoring	direct	true|false	OOM point retained as censored
F6	all	one row per run, scale/concurrency and variant	resource_limit_bytes	uint64	bytes	yes	context	direct	>0	Required to interpret OOM
