source_id	experiment_id	figure_id	source_kind	local_path	remote_path	local_sha256	git_sha_or_version	binary_hash	hardware	query_protocol	raw_status	correctness_gate	verdict	caveat
c2_layer_c_fig4	E05	fig4-dynamic-compaction	summary_from_remote_raw	cidr-experiments/data/source-cache/stage7-sf30-readamp-proxy-summary-20260622-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/c2-sf30-readamp-proxy-20260621/{naive,semantic}-proxy.json	3a9af0d8856eddecdafd3f3167e4e8d02c861f2c755f600eb6778d1c2c4787c5				real SF30 metadata replay over 40 typed-neighbor partitions	LOCAL summary; raw proxy JSON remote-only	not a full query digest run	REUSE	6.52x is metadata candidate-byte proxy, not latency or body-read speedup.
w9_fig4	E05	fig4-dynamic-compaction	summary	cidr-experiments/data/source-cache/w9-steady-state-summary-20260615-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w9-steady-state-formal-20260615-1200	0e117e89a20b060f14131d3bd38b61b96eacdc770caed60b47ec0fe6c28bc6ee				SF30 W8 stores; 1800s/variant; 300s checkpoints; target 200 query/s + 200 write/s; flush every 1024; compaction interval 0	LOCAL summary; formal JSONL remote-only; local smoke JSONL is not the formal run	writer_errors=0; no query digest	RERUN	COMPACT_EVERY_SECS=0; one sequential run; cannot support closed-loop compaction claim.
w8_fig5	E06	fig5-workload-coverage	summary+complete_local_raw	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w8-property-2hop-20260614-2025	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef				SF30 edge_type=1; 5000 sampled sources; 3 same-store repeats; warmup=1; property predicates and two-hop fanout=64	LOCAL 15 wrapped benchmark JSON + 3 import JSON + DONE + launcher log	no query-level digest	FIX	Equality is prototype; two-hop candidate count worsens; add digest/current-version confirmation.
w13_fig5	E09	fig5-workload-coverage	summary	cidr-experiments/data/source-cache/w13-schema-evolution-summary-20260614.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w13-schema-evolution-20260614-0004	a9f4a30341b71746f572a6e59a9fa6e5ec3eee857fda46fd6e32bfa8bf2b43fb				10 selected deterministic engine tests; per-test timeout 1800s	LOCAL summary; tests.tsv/run.meta/per-test logs remote-only	10/10 pass	REUSE	Bounded additive/fixed-width/schema-epoch correctness only; no migration/reclamation/random stress.
w13_supplemental	E09	fig5-workload-coverage	inventory_note	lsmgraph-rs/baseline/w10-evidence-inventory-20260615-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w13-schema-evolution-20260615-143649	dd82f7fa95df6ebbc4336eb59feb9e87517136e6eb7c81bb3df22bf182c63922				same 10-test runner, accidentally triggered by --help	LOCAL inventory note; raw run remote-only	10/10 pass	FIX	Supplemental sanity only; primary W13 remains canonical.
external_livegraph_fig1	E01	fig1-end-to-end	local_raw+aggregate	baseline/external-baselines-20260624/livegraph/metrics.tsv	/data/WorkSpace/lsmgraph-rs/baseline/external-baselines-20260624/livegraph	dd1ae8a0c2dfd20299a8ad0cb98339e8bb7f9b2f788dcc9c9e5af5037d5fc76f	eea5a40ce6ee443f901e44323c1119f59113eaf3	driver_md5=40d8bd8d23dd2638eea8ef8bda5cce39; digest_driver_md5=f27799e3635701a7e18e52bccc7733f2	finbench; Xeon Platinum 8163; 64 vCPU; 503GiB; /dev/vdb1 /data	SF10 34 signed edge types; nominal 1000 samples/type; 32140 checked; seed=42	LOCAL raw + config + DONE + digest	PASS mismatches=0	RERUN	Scope and operation stream do not match SemL0 W6; SemL0 repo was dirty at c2aa16c6 during external-driver record.
external_aster_rocksgraph_fig1	E01	fig1-end-to-end	local_result+aggregate	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1/result.json	/data/WorkSpace/lsmgraph-rs/baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	d586dfc22470f180d64478fa392f5a391759baebadfb14b8e841b02c2819c6b9	6abb258e577c479325092a8ac0e7691fdfd154c2			truth-s50-seed42; 34 types x 50 = 1700; compact logical vertex bridge	LOCAL result.json + DONE; build log local	PASS mismatches=0	RERUN	Typed-neighbor bridge, not full AsterDB/Gremlin; hardware and exact matched SemL0 stream absent.
external_neo4j_community_fig1	E01	fig1-end-to-end	aggregate_only_local	baseline/external-baselines-20260626/3plus3-baselines/metrics.tsv	/data/WorkSpace/lsmgraph-rs/baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0	neo4j:5.26.24			truth-s50-seed42; 34 relationship types x 50 = 1700; Cypher/client path	LOCAL aggregate metrics/correctness only; raw run remote-only	PASS mismatches=0	RERUN	Client/API/timing differs; local raw missing; peak RSS missing.
external_tugraph_fig1	E01	fig1-end-to-end	aggregate_only_local	baseline/external-baselines-20260626/3plus3-baselines/metrics.tsv	/data/WorkSpace/lsmgraph-rs/baseline/external-baselines-20260626/3plus3-baselines/systems/tugraph/sf10-main-r1	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0				truth-s50-seed42; 1700; embedded C++ API	LOCAL aggregate metrics/correctness only; raw run remote-only	PASS mismatches=0	RERUN	Version/hardware not recorded locally; API/timing differs from SemL0.
external_nebulagraph_fig1	E01	fig1-end-to-end	local_result+aggregate	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1/result.json	/data/WorkSpace/lsmgraph-rs/baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	a92c2cf357d46e394588a51521bfd5312fea173e271c6b3e69e50704e08935bc	v3.8.0	graphd=sha256:1040573cc684ea6cc5e673b667422e9abab607c9d553c2c17c7bac6ad8a74e05; metad=sha256:ab687bd32d3e441d436842b41427ba0961a5e169c46997ef03fa4dcfd5388b35; storaged=sha256:7142642ee69001a5b5c50520196538d58bb2ec3930707c067cb4c4e2be3890f9		truth-s50-seed42; 1700; nGQL edge-type model; batch=500	LOCAL result.json + DONE	PASS mismatches=0	RERUN	nGQL/client/server boundary differs; hardware not attached to result.
